ORIGIN_AIRPORT_ID,DISPLAY_AIRPORT_NAME,ORIGIN_CITY_NAME,NAME
14100,Philadelphia International,"Philadelphia, PA","PHILADELPHIA INTERNATIONAL AIRPORT, PA US"
14107,Phoenix Sky Harbor International,"Phoenix, AZ","PHOENIX AIRPORT, AZ US"
11995,Piedmont Triad International,"Greensboro/High Point, NC","GREENSBORO AIRPORT, NC US"
14122,Pittsburgh International,"Pittsburgh, PA","PITTSBURGH ALLEGHENY CO AIRPORT, PA US"
11066,Port Columbus International,"Columbus, OH","COLUMBUS OHIO STATE UNIVERSITY AIRPORT, OH US"
14057,Portland International,"Portland, OR","PORTLAND INTERNATIONAL AIRPORT, OR US"
14321,Portland International Jetport,"Portland, ME","PORTLAND JETPORT, ME US"
14843,Puerto Rico International,"San Juan, PR","SAN JUAN L M MARIN INTERNATIONAL AIRPORT, US"
14492,Raleigh-Durham International,"Raleigh/Durham, NC","RALEIGH AIRPORT, NC US"
14570,Reno/Tahoe International,"Reno, NV","RENO AIRPORT, NV US"
14524,Richmond International,"Richmond, VA","RICHMOND INTERNATIONAL AIRPORT, VA US"
14576,Rochester Monroe County,"Rochester, NY","ROCHESTER GREATER INTERNATIONAL, NY US"
11278,Ronald Reagan Washington National,"Washington, DC","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
14893,Sacramento International,"Sacramento, CA","SACRAMENTO METROPOLITAN AIRPORT, CA US"
14869,Salt Lake City International,"Salt Lake City, UT","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US"
14683,San Antonio International,"San Antonio, TX","SAN ANTONIO INTERNATIONAL AIRPORT, TX US"
14679,San Diego International Lindbergh Fl,"San Diego, CA","SAN DIEGO INTERNATIONAL AIRPORT, CA US"
14771,San Francisco International,"San Francisco, CA","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US"
14831,San Jose International,"San Jose, CA","SAN JOSE INTERNATIONAL AIRPORT, CA US"
14761,Sanford NAS,"Sanford, FL","TALLAHASSEE REGIONAL AIRPORT, FL US"
14685,Savannah/Hilton Head International,"Savannah, GA","SAVANNAH INTERNATIONAL AIRPORT, GA US"
14747,Seattle International,"Seattle, WA","SEATTLE TACOMA AIRPORT, WA US"
14635,Southwest Florida International,"Fort Myers, FL","FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US"
11884,Spokane International,"Spokane, WA","SPOKANE INTERNATIONAL AIRPORT, WA US"
14730,Standiford Field,"Louisville, KY","LOUISVILLE INTERNATIONAL AIRPORT, KY US"
11292,Stapleton International,"Denver, CO","DENVER INTERNATIONAL AIRPORT, CO US"
15096,Syracuse Hancock International,"Syracuse, NY","SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US"
15304,Tampa International,"Tampa, FL","TAMPA INTERNATIONAL AIRPORT, FL US"
14307,Theodore Francis Green State,"Providence, RI","NEWPORT STATE AIRPORT, RI US"
13485,Truax Field,"Madison, WI","MADISON DANE CO REGIONAL AIRPORT, WI US"
15376,Tucson International,"Tucson, AZ","PHOENIX AIRPORT, AZ US"
15370,Tulsa International,"Tulsa, OK","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
12264,Washington Dulles International,"Washington, DC","WASHINGTON DULLES INTERNATIONAL AIRPORT, VA US"
13851,Will Rogers World,"Oklahoma City, OK","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US"
12191,William P Hobby,"Houston, TX","HOUSTON WILLIAM P HOBBY AIRPORT, TX US"
10713,Boise Air Terminal,"Boise, ID","BOISE AIR TERMINAL, ID US"
